"","person","date","joinTime","leaveTime"
"68","l3viathan",2014-02-26,2014-02-26 19:50:38,2014-02-26 20:01:21
"69","fenhl",2014-02-26,2014-02-26 19:50:51,2014-02-26 20:01:06
"70","xsteadfastx",2014-02-26,2014-02-26 19:57:16,2014-02-26 20:01:22
"71","fenhl",2014-02-26,2014-02-26 20:01:23,2014-02-26 21:51:54
"72","xsteadfastx",2014-02-26,2014-02-26 20:01:26,2014-02-26 20:06:05
"73","l3viathan",2014-02-26,2014-02-26 20:01:29,2014-02-26 21:09:17
"74","monographic",2014-02-26,2014-02-26 20:01:33,2014-02-26 20:31:08
"75","drseilzug",2014-02-26,2014-02-26 20:05:45,2014-02-26 21:50:32
"76","monographic",2014-02-26,2014-02-26 20:39:39,2014-02-26 21:51:39
"77","l3viathan",2014-02-26,2014-02-26 21:09:21,2014-02-26 21:19:05
"78","monographic",2014-02-27,2014-02-27 04:54:55,2014-02-27 05:21:03
"79","xsteadfastx",2014-02-27,2014-02-27 10:45:26,2014-02-27 11:01:01
"80","xsteadfastx",2014-02-27,2014-02-27 11:01:04,2014-02-27 11:08:57
"81","monographic",2014-02-27,2014-02-27 13:14:56,2014-02-27 13:51:25
"82","monographic",2014-02-27,2014-02-27 14:09:02,2014-02-27 14:21:18
"83","xsteadfastx",2014-02-27,2014-02-27 14:49:46,2014-02-27 14:53:16
"84","monographic",2014-02-27,2014-02-27 17:53:18,2014-02-27 18:05:59
"85","monographic",2014-02-27,2014-02-27 18:33:58,2014-02-27 19:01:05
"86","monographic",2014-02-27,2014-02-27 19:01:19,2014-02-27 19:01:20
"87","monographic",2014-02-27,2014-02-27 19:02:08,2014-02-27 19:17:05
"88","monographic",2014-02-28,2014-02-28 07:45:07,2014-02-28 08:08:37
"89","monographic",2014-02-28,2014-02-28 08:51:15,2014-02-28 09:01:21
"90","monographic",2014-02-28,2014-02-28 09:03:36,2014-02-28 09:09:41
"91","monographic",2014-02-28,2014-02-28 09:11:55,2014-02-28 09:21:22
"92","monographic",2014-02-28,2014-02-28 09:22:02,2014-02-28 09:54:33
"93","xsteadfastx",2014-02-28,2014-02-28 09:34:59,2014-02-28 09:44:39
"94","monographic",2014-02-28,2014-02-28 11:20:43,2014-02-28 11:25:59
"95","monographic",2014-02-28,2014-02-28 11:32:25,2014-02-28 11:43:44
"96","monographic",2014-02-28,2014-02-28 11:45:43,2014-02-28 11:56:51
"97","monographic",2014-02-28,2014-02-28 11:59:06,2014-02-28 12:07:30
"98","fenhl",2014-02-28,2014-02-28 12:11:36,2014-02-28 12:15:51
"99","fenhl",2014-02-28,2014-02-28 12:30:14,2014-02-28 13:04:28
"100","fenhl",2014-02-28,2014-02-28 13:04:43,2014-02-28 15:14:02
"101","monographic",2014-02-28,2014-02-28 13:32:31,2014-02-28 13:58:37
"102","l3viathan",2014-02-28,2014-02-28 13:41:45,2014-02-28 14:40:58
"103","monographic",2014-02-28,2014-02-28 14:01:21,2014-02-28 14:06:29
"104","monographic",2014-02-28,2014-02-28 14:55:11,2014-02-28 15:28:22
"105","fenhl",2014-02-28,2014-02-28 15:18:44,2014-02-28 15:46:40
"106","l3viathan",2014-02-28,2014-02-28 15:27:13,2014-02-28 15:32:56
"107","fenhl",2014-02-28,2014-02-28 19:39:23,2014-02-28 20:37:26
"108","l3viathan",2014-02-28,2014-02-28 21:35:53,2014-02-28 21:42:58
"109","l3viathan",2014-02-28,2014-02-28 21:52:10,2014-02-28 22:51:43
"110","jemus42",2014-02-28,2014-02-28 22:01:46,2014-02-28 22:52:17
"111","farthen",2014-03-01,2014-03-01 14:28:50,2014-03-01 14:31:02
"112","jemus42",2014-03-01,2014-03-01 19:47:28,2014-03-01 19:58:15
"113","farthen",2014-03-01,2014-03-01 22:47:59,2014-03-01 22:50:14
"114","jemus42",2014-03-02,2014-03-02 01:16:58,2014-03-02 02:03:01
"115","l3viathan",2014-03-02,2014-03-02 01:19:32,2014-03-02 02:24:44
"116","fenhl",2014-03-02,2014-03-02 01:23:31,2014-03-02 02:24:51
"117","jemus42",2014-03-02,2014-03-02 02:03:06,2014-03-02 02:24:52
"118","l3viathan",2014-03-02,2014-03-02 02:24:53,2014-03-02 04:01:22
"119","jemus42",2014-03-02,2014-03-02 02:24:55,2014-03-02 02:53:55
"120","fenhl",2014-03-02,2014-03-02 02:25:21,2014-03-02 02:46:48
"121","jemus42",2014-03-02,2014-03-02 02:55:25,2014-03-02 03:10:45
"122","jemus42",2014-03-02,2014-03-02 03:10:56,2014-03-02 03:23:23
"123","fenhl",2014-03-02,2014-03-02 03:11:17,2014-03-02 04:01:30
"124","jemus42",2014-03-02,2014-03-02 03:23:33,2014-03-02 03:26:00
"125","jemus42",2014-03-02,2014-03-02 03:26:14,2014-03-02 04:01:31
"126","fenhl",2014-03-02,2014-03-02 04:01:33,2014-03-02 04:02:41
"127","l3viathan",2014-03-02,2014-03-02 04:01:48,2014-03-02 04:21:35
"128","jemus42",2014-03-02,2014-03-02 04:02:53,2014-03-02 04:21:42
"129","naturalismus",2014-03-02,2014-03-02 16:11:26,2014-03-02 16:13:10
"130","naturalismus",2014-03-02,2014-03-02 16:44:02,2014-03-02 17:03:11
"131","fenhl",2014-03-02,2014-03-02 16:48:25,2014-03-02 17:37:21
"132","naturalismus",2014-03-02,2014-03-02 17:06:58,2014-03-02 17:15:23
"133","naturalismus",2014-03-02,2014-03-02 17:15:27,2014-03-02 17:19:17
"134","naturalismus",2014-03-02,2014-03-02 17:19:21,2014-03-02 17:31:59
"135","naturalismus",2014-03-02,2014-03-02 17:36:54,2014-03-02 17:37:02
"136","naturalismus",2014-03-02,2014-03-02 17:39:00,2014-03-02 17:41:58
"137","naturalismus",2014-03-02,2014-03-02 17:44:18,2014-03-02 17:47:49
"138","naturalismus",2014-03-02,2014-03-02 17:47:51,2014-03-02 18:02:44
"139","naturalismus",2014-03-02,2014-03-02 18:02:46,2014-03-02 18:16:17
"140","naturalismus",2014-03-02,2014-03-02 18:34:17,2014-03-02 19:16:06
"141","naturalismus",2014-03-02,2014-03-02 19:34:06,2014-03-02 19:43:16
"142","l3viathan",2014-03-02,2014-03-02 19:34:33,2014-03-02 19:37:55
"143","jemus42",2014-03-02,2014-03-02 19:35:02,2014-03-02 19:39:40
"144","l3viathan",2014-03-02,2014-03-02 19:37:59,2014-03-02 19:39:45
"145","naturalismus",2014-03-02,2014-03-02 19:43:18,2014-03-02 20:00:17
"146","naturalismus",2014-03-02,2014-03-02 20:14:51,2014-03-02 20:39:42
"147","soop",2014-03-02,2014-03-02 21:00:04,2014-03-02 21:27:36
"148","naturalismus",2014-03-02,2014-03-02 21:01:34,2014-03-02 21:11:08
"149","naturalismus",2014-03-02,2014-03-02 21:12:00,2014-03-02 21:13:57
"150","naturalismus",2014-03-02,2014-03-02 21:14:04,2014-03-02 21:14:51
"151","naturalismus",2014-03-02,2014-03-02 21:15:17,2014-03-02 22:10:06
"152","fenhl",2014-03-02,2014-03-02 21:28:42,2014-03-02 22:03:05
"153","l3viathan",2014-03-02,2014-03-02 21:39:43,2014-03-02 21:48:00
"154","jemus42",2014-03-02,2014-03-02 21:42:32,2014-03-02 21:58:48
"155","jemus42",2014-03-02,2014-03-02 21:58:53,2014-03-02 21:59:56
"156","jemus42",2014-03-02,2014-03-02 22:00:00,2014-03-02 22:00:20
"157","jemus42",2014-03-02,2014-03-02 22:06:37,2014-03-02 22:16:48
"158","naturalismus",2014-03-02,2014-03-02 22:10:11,2014-03-02 22:10:36
"159","naturalismus",2014-03-02,2014-03-02 22:10:41,2014-03-02 22:13:03
"160","naturalismus",2014-03-02,2014-03-02 22:13:08,2014-03-02 22:25:05
"161","jemus42",2014-03-02,2014-03-02 22:25:20,2014-03-02 22:31:05
"162","naturalismus",2014-03-02,2014-03-02 22:26:40,2014-03-02 22:29:00
"163","naturalismus",2014-03-02,2014-03-02 22:29:15,2014-03-02 22:37:41
"164","jemus42",2014-03-02,2014-03-02 22:31:31,2014-03-02 22:32:56
"165","naturalismus",2014-03-02,2014-03-02 22:38:20,2014-03-02 22:40:48
"166","jemus42",2014-03-02,2014-03-02 22:43:22,2014-03-02 22:43:51
"167","naturalismus",2014-03-02,2014-03-02 22:44:50,2014-03-02 23:07:03
"168","jemus42",2014-03-02,2014-03-02 22:47:57,2014-03-02 23:03:27
"169","naturalismus",2014-03-02,2014-03-02 23:10:26,2014-03-02 23:31:04
"170","naturalismus",2014-03-02,2014-03-02 23:31:09,2014-03-02 23:47:35
"171","naturalismus",2014-03-02,2014-03-02 23:49:46,2014-03-02 23:52:58
"172","fenhl",2014-03-03,2014-03-03 14:01:49,2014-03-03 14:18:44
"173","naturalismus",2014-03-04,2014-03-04 10:19:06,2014-03-04 10:29:15
"174","naturalismus",2014-03-04,2014-03-04 10:35:07,2014-03-04 12:02:29
"175","naturalismus",2014-03-04,2014-03-04 12:02:31,2014-03-04 12:04:45
"176","naturalismus",2014-03-04,2014-03-04 12:35:43,2014-03-04 12:45:23
"177","naturalismus",2014-03-04,2014-03-04 12:45:25,2014-03-04 12:48:16
"178","naturalismus",2014-03-04,2014-03-04 12:48:21,2014-03-04 12:51:14
"179","naturalismus",2014-03-04,2014-03-04 12:51:18,2014-03-04 12:59:52
"180","alexex",2014-03-04,2014-03-04 12:55:51,2014-03-04 12:59:53
"181","naturalismus",2014-03-04,2014-03-04 13:01:17,2014-03-04 13:09:14
"182","naturalismus",2014-03-04,2014-03-04 13:09:18,2014-03-04 13:19:05
"183","naturalismus",2014-03-04,2014-03-04 13:19:16,2014-03-04 13:22:29
"184","naturalismus",2014-03-04,2014-03-04 13:22:36,2014-03-04 14:06:15
